#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0       -5.72519     0.00968341        4127.75      30
#indices  rapidity(ita)            phi             pt
#    0       -8.69288         1.5202        8511.41      90
#indices  rapidity(ita)            phi             pt
    9643       -8.55401        1.44227        212.755
    7868       -4.66522        1.42069        22.2502
    8168       -4.63031          1.455        22.1483
    9618       -6.49028        1.56606        211.002
    7823        -6.4624         1.5657        211.003
    7998       -6.45618        1.55976        211.013
    7078        -6.5352        1.48402        211.797
    8868       -6.53835        1.49594        22.0618
    8073       -5.99174        1.56706        22.0002
    8573       -5.96215        1.55438         22.003
   10128       -5.97586        1.55097        22.0043
    8443       -5.76771        1.55032        211.044
    9983       -5.81983        1.56723        22.0001
    8263       -8.13028        1.41945         213.44
    7883       -6.74216        1.56726        22.0001
    8353       -6.74106        1.56198        211.008
    8118       -6.83133        1.53397        22.0149
    8278       -6.81253        1.56244        211.007
    7413        -7.1253        1.53202        22.0166
    7933        -7.0586        1.56659        211.002
    8973       -7.90131        1.55465        211.028
    9298       -7.94828        1.51959        22.0289
    7218       -7.92828        1.53666        22.0128
    7958       -7.92491        1.55457        211.028
    7393       -7.58758        1.54346        130.049
    8888       -7.46582        1.56724        22.0001
    7003        -7.6375        1.56231        211.008
    8413       -7.77197        1.43967        22.1905
    7208       -7.33331        1.53904        130.066
    7328       -7.30822        1.53238        22.0162
    8138       -7.50302        1.09612        237.228
    9698       -7.16067        1.29529        219.269
    7833       -6.05348        1.54394        22.0079
    9748       -6.05613         1.5673        211.001
    7633       -5.90216        1.54591        22.0068
    8213       -5.91524        1.56663        321.003
    9908       -5.74778        1.49531        22.0628
    7638       -5.42766        1.53368         130.09
    7948       -5.42622        1.51368        22.0359
    8898       -6.80253        1.56642        211.002
    7713       -6.73985        1.55223        211.036
    8713       -6.75409        1.56612        22.0002
    8003       -6.67593        1.38741        22.3752
    7863       -6.64998        1.52099        22.0273
    8648        -6.7206        1.54323         211.08
    7903        -6.2734        1.21053        138.918
    7183       -6.25362        1.56765        211.001
    9738       -6.27577        1.56567        211.003
    7988       -5.03799        1.53475        22.0143
    9503       -5.01184        1.56776        321.001
    7133       -5.22566        1.52209         211.25
    7383       -5.19054        1.55016        22.0047
   10068       -5.16942        1.56773        22.0001
    7918       -5.10996        1.50311        22.0505
    9653       -5.16549        1.51262        211.358
    8998       -4.61669        1.56032        22.0012
    8703       -4.83455        1.50507        22.0476
    9083       -4.81069        1.50945        22.0415
    7263        -4.7609        1.56442        22.0004
    7043       -4.47071        1.55559        130.015
    9718       -4.44094        1.49173         22.069
    7248       -4.93073        1.27323        23.0113
    7188       -4.83878        1.56148        211.009
    9243       -4.92494         1.5093        22.0417
    7568       -3.82795        1.48314        22.0848
    9288        -3.8712        1.56823        22.0001
    9193       -3.76128        1.55965        22.0014
    9283       -3.74075        1.55632        22.0023
    7993       -3.60454        1.56922             22
    7378       -3.68977        1.56439        22.0005
    7600       -3.65691        1.57141        329.505
    8163       -2.61316        1.55154        22.0041
    8373        3.57353        1.56595        211.002
    9389        3.54895        1.67755       0.605519
    9988        4.87975        1.55138        22.0041
    8961        4.86884        1.79973        0.36929
    9124        4.80089        1.93691        1.72745
    9174         4.8229        2.01778        0.17477
    8141       -4.08269        1.93225       0.326467
    9326       -4.41266        1.77268       0.267292
    9674       -4.44698        1.88884         2.5004
    7460      -0.126506        1.55564        26.5507
    9078        7.13423         1.5573        211.019
    9641        7.15254        1.70099      0.0448318
    8315      -0.435298        1.56872        86.4548
    6993        6.89668        1.56184        321.013
    7049        6.90161        1.83403       0.212257
