#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0       -5.72519     0.00968341        4127.75      30
#indices  rapidity(ita)            phi             pt
   31023      -0.789632     0.00570521        22.0004
   30923     0.00394571      0.0050929        22.0003
   30861     0.00602911        6.19353       0.107855
   30928      0.0128031        6.26954         22.002
   30813      -0.244685      0.0720761        22.0573
   31003     -0.0438891      0.0841527         322.14
   30538       -1.63552      0.0207007        211.045
   31018       -1.73663     0.00249014        22.0001
   30522        2.22187        6.08849      0.0683849
   30883        2.27768        6.28212             22
   31043       -1.48978      0.0053995        22.0003
   30683       -1.48579        6.28299           2212
   30822       -1.57586        6.13419      0.0595961
   31038       -1.27735      0.0184978        22.0038
   31008        -1.0612       0.030095        211.096
   31048       -1.01526        6.28123             22
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0      -0.766309       0.835538        13067.9     246
#indices  rapidity(ita)            phi             pt
   33604      -0.559483       0.891157        39.8192
   32354       0.742611        0.94572        12.9579
   33243       -6.05053       0.933374        27.3757
   33511       -5.97275       0.860849       0.134339
   31301      -0.596305       0.971055       0.437599
   33709      -0.604519       0.930273        38.4266
   33714      -0.854043       0.879648        46.7164
   31923        6.66707       0.832878        285.185
   32561        6.53971       0.545984       0.160506
   31559      -0.698154       0.791944        42.4459
   31604      -0.691839       0.785437        44.2534
   33314       -3.68303       0.787799        5.30669
   32449       -3.42921       0.908537        6.78979
   33866       -3.53279        0.57961        1.05359
   31504       -3.45118       0.787951        6.69842
   31731       -3.44429       0.786867      0.0397155
   32154      -0.949464       0.786805        57.4364
   33734       -0.95327         0.7854        81.1729
   33944      -0.283888       0.786064        28.9685
   33359      -0.307073       0.786219        29.0756
   32144      -0.301234       0.786456        181.195
   32764      -0.299109       0.785737        29.5316
   33007      -0.557659       0.724537        21.3673
   32579      -0.576418        0.78737        39.3237
   33369      -0.570459       0.786316        38.7833
   31549      -0.466067       0.785674        35.2669
   31939      -0.473167       0.785398        3389.42
   31989      -0.471416        0.78554         35.467
   33779      -0.416589        0.78547        33.8434
   32179      -0.445975       0.785437        34.2169
   33176      -0.449938       0.856811       0.810221
   34079        1.43193        1.07744        50.1123
   34059        1.14881        1.08362        56.1908
   34094        1.24582        1.14748        6.69792
   34099        1.26717        1.14321        6.19578
   32706       -1.99439       0.651117        2.06295
   32721       -1.98739       0.761087        4.26578
   32749       -2.01352         0.7854        163.826
   31249         1.9173       0.785963        19.1212
   31969        1.93386        0.78635        30.8894
   32744         1.9589       0.786543        3.09979
   31194      0.0531677       0.790806        199.309
   33295      0.0842647       0.933099        17.2253
   31095      0.0118489       0.880178        2.39509
   31230      0.0419026       0.899288       0.919844
   33580      0.0310117       0.893304       0.662483
   33624       0.505848       0.845587        12.9094
   33129       0.516156         0.7854        125.821
   33881       0.514734       0.775156        1.65436
   31266        4.59488       0.601643        0.53028
   33778        4.48628       0.710192        33.7434
   34030       0.512275       0.680639        8.56426
   33171       0.474171       0.702868       0.625626
   34091       0.503604       0.724766        24.8333
   34076       0.481736       0.738968        2.11244
   34086       0.531612       0.742474        1.34301
   33876       0.499451       0.750691        8.00427
   34096       0.507393       0.750841         2.3846
   31259       -1.46407       0.785413        48.8616
   31903        -1.4148       0.639623        23.4548
   34021       -1.39948       0.413834       0.028675
   33329       -1.47963       0.862123        48.5913
   31089       -1.35479       0.791684        82.8035
   32906       -1.33223       0.867265       0.190813
   32918       -1.68161       0.827496        29.8816
   32519       -1.71734       0.797261        37.8808
   33134       -1.73638       0.785426        37.1095
   31079        1.17038       0.785406        65.4158
   33409         1.1629       0.785524        6.76548
   32834         1.1825       0.791254        7.12959
   33119        1.17545       0.785493        65.2578
   33464        1.31553         1.0129        5.39023
   31889         1.2863        0.87829        10.1131
   33669         1.2019       0.937957        6.28953
   33675       0.853565       0.866202        16.7902
   33720       0.843218       0.898153        17.1721
   31184       0.873926       0.789479        9.40337
   32809       0.842222       0.785414        9.50234
   33429       0.307829       0.786057        16.1721
   31801       0.277348       0.706863      0.0474929
   34035        0.31595       0.703393        5.40596
   31189       0.785994       0.788731        95.0085
   32759       0.222452       0.785412        17.6282
   33166        0.21614       0.755333       0.362111
   33670       0.195171       0.886357        4.10065
   33710       0.159374        0.85992        3.32808
   31909       -2.33102       0.862627         20.646
   31174       -2.27326       0.786986         21.775
   31819       -2.27023       0.790159         21.647
   32489        1.39826       0.786751        5.40455
   32479        1.41109       0.785413         51.384
   32829        1.41638       0.788307        5.43258
   32324        1.37854       0.785791        5.64267
   33349        1.39222       0.798997        5.48056
   33976        1.16712       0.429239       0.275977
   31981        1.02565       0.605888       0.116132
   34090        1.03025       0.666637        14.9424
   31179        1.04281       0.786156        7.83883
   31569        1.02774       0.812573        7.86863
   31589       0.986527       0.792326        8.21747
   33589       0.943944       0.786334        8.49235
   32716       -2.16073       0.778048        2.79731
   32866        -2.1665       0.543577      0.0220837
   32926       -2.18344       0.694267        18.1943
   32933       -3.23788       0.824712        29.9584
   32774       -3.25184       0.786262        8.16599
   31539       -3.27978       0.787982        7.95979
   33964       -3.27364        0.79838       0.419739
   31464        2.11532       0.859346        2.61725
   31764        2.08706       0.835054        2.72703
   32574        2.00376       0.787121         2.9834
   33356        2.02364       0.671116       0.219712
   32688        6.09702         0.7825        31.2033
   31774        5.93378        0.87392       0.558708
   32024        5.84716        0.92195      0.0640062
   32164        1.12371       0.849492        7.28519
   31244        1.13836       0.788455        68.2591
   31994        1.09272       0.786503        7.37566
   32379       0.655784       0.785418        109.092
   32524         -3.969        0.80722        3.98173
   31134       -3.97783       0.837253        3.95113
   31726       -4.00851       0.962826       0.194839
   31094       -3.96658       0.856543        3.98261
   33841       -3.84034       0.849246      0.0680007
   33729        1.67551       0.785398        1124.69
   32044        1.65999       0.787206        4.20892
   32549        1.67178       0.785512         39.629
   33080      -0.180932        1.02569          37.66
   33058         5.9553       0.993596        251.792
   33294        6.02894       0.961739        0.49791
   32328       -2.42954         1.1725        23.8684
   32114       -2.40267       0.967016        19.3649
   31234       -5.07282       0.894016        2.01156
   32323       -5.02657       0.920847        27.6342
   32124       -2.46798        1.00075        17.8984
   32339       -2.48778        0.91569        18.1329
   32269         4.6745        1.02623       0.223928
   32733        4.74725          1.117        24.4774
   32801      -0.162607        1.11741       0.126262
   33708     -0.0871562        1.06921        25.0906
   33335       0.308022        1.06107        6.52112
   31884       -5.77387        1.10987       0.057183
   32808       -5.82203        1.07794         24.972
   32541      -0.444408        1.07813       0.935017
   33824        3.11257        1.01698       0.909918
   32156        3.02917       0.932481       0.162292
   32788        3.02638       0.975274        26.5747
   33570       0.145143        1.08487        3.11051
   33625         0.1275        1.09579        2.72656
   33330       0.143478         1.0229        29.9733
   33465       0.127499       0.996676        2.03164
   33610       0.254902        1.01558        5.47579
   31479       -6.29195        1.01366       0.390869
   32633       -6.29354        1.00264        250.329
   33389       0.345438       0.785623        15.3645
   33304       0.160495       0.785401        247.651
   33414       0.160818       0.785493        18.6052
   33886       0.564824       0.783676        11.1533
   34036       0.562305        0.76922        2.83443
   33629       0.556477       0.834206        5.06874
   34031        0.61765       0.852421        1.14302
   31284       -5.04094        1.09956        1.34624
   33433       -5.06107        1.12127        24.4267
   31139       -5.18668        1.29207        1.18493
   33333       -5.15244         1.2457         23.216
   32983       -6.19056       0.998816        26.1646
   33804       -6.22669       0.914662       0.416868
   32039       -5.71179       0.919786       0.698491
   33508       -5.73593       0.970797        26.6558
   31454       -1.92483        1.10399         31.201
   32279       -3.26453       0.971081        8.30741
   32288       -3.29583        1.08483        24.8806
   31114        -1.0466        1.07759         74.048
   31894      -0.959735        1.08169        106.106
   33924       -1.03596         0.7854        61.8665
   31599       -1.11385       0.785405        67.1245
   33399       -1.08735       0.785416        63.7485
   33719      -0.998515       0.927564        45.9504
   33619       -3.38176       0.838217        7.15295
   31069        3.43771       0.877282        1412.82
   31614        3.40057       0.864295       0.729173
   33384        2.41437       0.808706        1.95087
   32174        2.36377       0.785497        2.06776
   33094         2.3607       0.785545        19.9114
   33574        2.22961        0.89165         2.3427
   33124         2.2897       0.785474         21.563
   33021        2.18923       0.546243       0.454957
   31804        2.25781       0.785558        2.34128
   33949        2.27141       0.792608        2.26515
   33419        2.28432       0.785666        2.23936
   33784        2.27962       0.785473         21.582
   32149       0.270798       0.786503        17.3956
   33195     -0.0119404       0.795694        1.35818
   33165     0.00520492       0.833126       0.935595
   31295     0.00276035       0.798255       0.562645
   33070    -0.00910991       0.806991        1.89886
   33726       0.191745       0.731257        80.2126
   33885       0.180764       0.601879        3.02523
   31631       0.430673         0.9741        0.54952
   33615       0.374873         1.0243        7.88119
   31855       0.325236       0.966294        6.88683
   33705       0.320894       0.890654        6.52513
   31104       0.380378         0.7854        144.345
   32369        0.39826       0.785399         1450.5
   33394       0.398843       0.785524        14.7647
   33630       0.446249        1.19281        52.8293
   33620        0.12095        1.15446        2.59203
   31620       0.129155        1.21147         2.7961
   33345       0.102977        1.19396         20.938
   33889       0.269819        1.13114        6.93246
   31796        3.51961         1.2477      0.0283565
   34083        3.49432        1.16871        23.9066
   31649        3.37127        1.23381       0.768566
   34066        3.36048        1.36316       0.349746
   31791       0.628847        1.26472      0.0634591
   33363       0.688807        1.16728        23.9212
   31850       0.348879        1.13633        3.67633
   33791        5.48701        1.21304       0.046476
   33953        5.50338        1.17646        23.8289
   33685      0.0780362        1.02565        1.71316
   31615      0.0504713        1.06963        1.10073
   32165      0.0734452        1.09437        1.55963
   32840      0.0237924        1.11236       0.498398
   31440      0.0109865        1.10664       0.241671
   33970      0.0205711        1.10529       0.427377
   33160    -0.00526363        1.11045        1.06862
   32525     0.00340017         1.1181       0.661453
   31580     0.00525721        1.12208        1.08019
   33665     0.00484096        1.12218        1.00815
   31339        1.53636        1.10933        5.90542
   32881       -2.14457        1.15692       0.328986
   33683       -2.06151         1.1034        24.6431
   32590      0.0343815        1.13203        0.71563
   31585      0.0388022          1.152       0.818274
   31910      0.0273305        1.14916        5.58757
   31755      0.0342641        1.17279        0.74469
   31980      0.0377867        1.18201        7.76168
   33871      0.0479627        1.17659         0.1641
   31290     0.00646008        1.19291        1.16527
   31425     0.00608866        1.19271       0.939367
   31570     0.00894897        1.22198       0.196662
   32455     -0.0059769          1.224        1.10372
   31424        5.54763        1.00165        0.81883
   33258        5.48097         1.0742        239.988
   34073        2.43694        1.16337        23.9614
   34089        2.33967        1.13892        3.38124
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0        1.84599    0.000315613           2112       1
#indices  rapidity(ita)            phi             pt
   34111        1.84599    0.000315613           2112
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0        8.64924      0.0417223        4184.03      29
#indices  rapidity(ita)            phi             pt
   34920        8.24909         6.2823            211
   35085         8.1489        6.28227             22
   34716        7.86127       0.153182        851.992
   34871        7.87786        0.22614        98.1189
   35165        6.02176        6.27893        321.003
   34955        6.02574    0.000195725            211
   35285        6.03814         6.2829             22
   34940        6.96135        6.28217            211
   35110        6.98799        6.28069        22.0001
   35255        7.05945     0.00152893             22
   35310        7.11338     0.00200232            211
   35290        6.43408     0.00165976             22
   34845         6.3089        6.28248            211
   35365        6.35177        6.27777        22.0003
   35015        5.97105    0.000807409            211
   34970        5.70383     0.00401614        211.002
   35250        5.74719        6.28253             22
   34975         5.8624     0.00586618        211.004
   35305        5.84123    0.000993344            211
   35235        4.90124     0.00132913             22
   35385        4.89647     0.00648654        22.0005
   35150         5.0279         6.2706        22.0017
   34895        4.81328        6.28033        22.0001
   34705        4.65455     7.5181e-05            211
   35370        4.60522        6.26684        22.0029
   34721        5.37043       0.208941        106.063
   34890        5.31187        6.28143            211
   34910        5.09036     0.00258881        211.001
   35265        5.07438        6.28242             22
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0        5.56871    0.000186862           4571      21
#indices  rapidity(ita)            phi             pt
   36244        5.63424        6.28197            211
   35719        2.50041      0.0177215        22.0035
   35919        2.59568      0.0299917        22.0099
   36594        4.29066     0.00847639        22.0008
   36959        4.31662        6.28014        211.001
   35944        4.46965        6.27925        22.0002
   35749        4.51174      0.0019331            211
   36774        4.51043     0.00147812            211
   36499        5.44018        6.28292             22
   37164        5.45581     0.00246053        22.0001
   35814        5.48515    0.000167669            130
   35894           5.49        6.28296            211
   36249        5.31398        6.28137            211
   36054        5.20751     0.00149789            321
   35684         4.9592     0.00128142            211
   36414        5.09458         6.2817             22
   36989         5.0242        6.28303           2212
   35974        4.42891        6.27902        22.0002
   36474        4.44467    0.000315971            211
   36574        4.74326        6.28046        22.0001
   36624        4.72136        6.28142             22
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0      -0.542401        2.35619        3828.63       1
#indices  rapidity(ita)            phi             pt
   37630      -0.542401        2.35619        3828.63
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0       -7.68476       0.632456           3742       1
#indices  rapidity(ita)            phi             pt
   38368       -7.68476       0.632456           3742
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0      -0.477093        2.35592        4061.27      14
#indices  rapidity(ita)            phi             pt
   39393      -0.499897        2.32793        36.2365
   39318      -0.464987        2.35619         3521.5
   39215      -0.516659         2.6519       0.617742
   39375      -0.434923        2.59895       0.451978
   38673        1.34035        2.35617        84.0014
   39578        1.32414        2.35216        5.83714
   39128      0.0753225        2.34899         20.257
   39529      0.0083031        2.14232       0.182399
   39353       0.783221        2.35571        9.83808
   38848       0.770354        2.35361         10.208
   39568       0.775464        2.35328        10.0124
   38688       0.613198        2.35257        11.8169
   38668       -2.72225        2.35617        336.126
   38853       -2.69836        2.35086        14.2352
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0      -0.634326        2.35619        4255.98       2
#indices  rapidity(ita)            phi             pt
   39737       -0.64208        2.35619        4042.67
   39927       -0.49771        2.35618        213.311
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0       0.816792         1.5441        3676.82      57
#indices  rapidity(ita)            phi             pt
   40690        6.05836         1.4907        211.679
   40341        6.12716        1.37028       0.698496
   40626        6.15051        1.44612       0.449891
   40487       0.853673        1.56795        156.501
   41187       0.868818        1.57175        1598.16
   40952      0.0131476        1.52536       0.272892
   40992      0.0116801        1.52338       0.248772
   40967      0.0127951        1.54161       0.281386
   40502      0.0257088        1.53185        5.41064
   41457      0.0192373        1.52862       0.287819
   40610        6.71285        1.56636        211.002
   41536        6.74736        1.62127       0.247546
   41511       0.902937        1.21007        8.43717
   40332    -0.00565638        1.09509       0.270766
   40682     0.00329788        1.09455       0.357095
   41340        5.60267        1.14683         24.137
   40881        5.69588         1.0175      0.0733491
   41528        5.78172       0.965553      0.0560469
   40686       0.224009        1.20609        29.4596
   40472       0.118556        1.29895       0.529493
   41437      0.0653868        1.24163        1.43607
   41506       0.616966        1.45146        10.9887
   41586       0.563794           1.45        71.8145
   41520        1.56679        1.50118        22.0534
   41533        1.47555        1.40176       0.330209
   41176        1.72665        1.34799         6.2922
   41521        1.75231        1.44055        3.31425
   41167       0.515933        1.39519        98.8956
   40672       0.336139        1.38561        57.0498
   41172       0.263807        1.40371        5.61394
   40628      -0.609714         1.3042       0.325523
   41516      -0.637918        1.28865        39.1083
   41323      -0.857013         1.3525       0.796933
   41515      -0.797061        1.30565        22.7967
   41242       0.772697        1.57144        181.023
   40837       0.548713        1.58743        10.9883
   41480        5.09164        1.57006             22
   40508        5.12831        1.72679       0.100247
   40951        5.07502         1.7839        0.13812
   41532       0.107727        1.57001        193.423
   40637       0.091475         1.5659        19.2458
   41562       0.100498        1.53551        2.20343
   40392       0.428946        1.58829        82.9836
   41417       0.227455        1.57164        86.1407
   41422       0.230232        1.55437        4.97688
   40517       0.388775        1.58913         46.299
   40862       0.403847        1.58478        44.2147
   40867       0.522854        1.64363        10.5576
   40810       -3.95746        1.55618        22.0024
   41213       -3.99653        1.65792        0.18888
   41427       0.605982        1.60039        11.9083
   40512       0.265743        1.58172         54.788
   40857       0.262336        1.58112        73.3436
   40431        6.15192        1.73952        0.68615
   40560         6.0247          1.562        211.008
   40852       0.465063          1.531         9.5443
   40972       0.479396        1.54214        9.78294
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0        0.70552        4.71965        21421.6     432
#indices  rapidity(ita)            phi             pt
   46612       0.934704        4.40123       0.714674
   41751       0.861203        4.65703        16.1125
   44697       0.863897        4.57856        0.15741
   47911       0.115028         4.7113        180.469
   42686       0.122702        4.70742        2.68597
   42821       0.118437        4.70646         2.5927
   45326       0.114275        4.70459        1.25157
   46391       0.116796         4.7035        24.5312
   43322        0.93981        4.82303       0.368064
   46401        0.86167          4.712        147.092
   47602       0.922626        4.71168       0.112954
   45751       0.859721        4.71224        1623.49
   42156       0.827347        4.71473         14.939
   44256        0.84292        4.71626        16.6273
   42126       0.755731        4.70655        19.4838
   47266       0.752606        4.72154        14.0059
   43441       0.705503        4.70226        13.3727
   45316       0.701989        4.71294        13.3238
   43491       0.718038        4.70899         20.945
   45311       0.718622        4.71675        20.9209
   46056       0.119385        4.71747         173.51
   44236       0.105624        4.69206        2.21867
   46981       0.109044        4.69789        22.9167
   42806       0.803949        4.71473        17.8232
   42981        0.80053        4.71296         1469.5
   47441     -0.0146218        4.75826        3.08163
   43951     -0.0230855         4.7524         4.8601
   47401     -0.0175311          4.752        3.68393
   41741     0.00714445        4.77352        1.50095
   42016     0.00389687        4.77548       0.686625
   46896      0.0194397        4.76851        0.42761
   47556      0.0168139        4.76081        3.53556
   48021       0.782449        4.70501        18.5369
   46661       0.775968        4.71219        179.928
   47676       0.779447         4.7195        18.6399
   42996       0.677304        4.72872         124.44
   42826       0.663805        4.71431        23.3507
   45296       0.658925        4.71769        23.5871
   41734        5.42994        4.72545        211.018
   43102         5.4005        4.60171         1.0377
   47417        5.30574        4.62009       0.745009
   41731       0.688967        4.71828        13.1302
   41771       0.682515        4.71431        125.152
   42691        0.66886         4.7087        136.556
   45331       0.668641        4.69318        23.1194
   43486       0.610155        4.72093        26.1684
   47171        0.55697        4.71816        29.5153
   44001        0.19727        4.71096        41.0919
   44162         6.9627        4.40748       0.242185
   47709        6.95588        4.71377            211
   44386       0.426238        4.71474        84.8582
   46651       0.441618        4.73064        9.12907
   48029        -3.9052        4.75344        11.0093
   46902       -3.96234         4.6487      0.0568223
   47257       -3.95289        4.66718      0.0864085
   42631       0.460141        4.71228        361.118
   42151       0.278514        4.71434        5.97336
   42626       0.276129        4.71248        69.1803
   42831       0.604451        4.70742        26.4982
   44836       0.592513        4.70987        170.675
   48016       0.594789        4.70468        11.7327
   44821       0.177355        4.72081         113.42
   41766       0.175933        4.71613        36.7414
   42836       0.160761        4.72727         1.3963
   43931       0.162231        4.71997         3.5373
   42131       0.624919        4.70857        25.3434
   46891       0.635426        4.71462        24.7796
   47411       0.629554        4.71262        1233.73
   42136       0.328193        4.71666        56.6369
   43446       0.332397        4.71152        7.05471
   43216       0.504599        4.71063        98.2666
   46936       0.502418        4.71269        3235.73
   47701       0.560649        4.64263        11.1851
   42171       0.411231        4.68964        8.56451
   44651       0.396773        4.69462        8.28619
   45121       0.282067        4.65741        6.04546
   45336       0.159882        4.69485        126.895
   47196       0.154212        4.69617        3.36077
   42501       0.456632        4.69369        9.39881
   45841       0.464202        4.70782        56.3525
   46051       0.466746        4.70129        9.58211
   44487        6.20525        4.70686         1.2922
   44579        6.20217        4.71539        211.001
   41717       -1.54836        4.65987        1.43721
   42902       -1.46142        4.64244      0.0710136
   47772       -1.51032        4.73103       0.190534
   47787       -1.54986        4.73192        0.68027
   46867        -1.7687        4.43906       0.371436
   48042       -1.68219        4.65354       0.395782
   46842       -1.76456        4.53995      0.0303308
   48102       -1.69519        4.55745       0.500551
   47447       -1.33181        4.42915       0.440784
   42362       -1.61465         4.4803     0.00229961
   47737       -1.56104        4.47161        2.08119
   48097       -1.40859        4.91088         3.2485
   43462       -1.24157        5.31088       0.157695
   47072       -1.28049        5.43175      0.0647212
   43622       -1.32808         5.2389        0.33965
   44277       -1.28159        5.17423       0.697693
   43182       -1.30322        4.72024       0.348809
   43972       -1.23678        4.73874       0.430721
   42897       -1.19672        4.69648       0.501778
   47782       -1.23308        4.66429        4.33138
   44447       -1.25254         4.6717     0.00877667
   44942       -1.24972        4.66551       0.342201
   47724        3.46058        4.71957        211.005
   45217        3.63678        4.51866        0.53482
   44172        3.93914        4.40927      0.0658006
   46102        3.78244        4.24009      0.0572015
   47927        4.04888        4.10018      0.0366384
   47507        3.51295        4.36571        0.45171
   44732        3.35783        4.36873       0.276627
   46212        3.11921        4.22133      0.0274791
   47847         3.1935        4.15771      0.0647464
   43996       0.421465        4.70849        84.0121
   42646       0.278233         4.6978        57.2348
   43941       0.290831        4.71312        59.6916
   47251       0.289325        4.73026          6.111
   46349       -5.62612        4.71371            211
   47407       -5.58089        4.48536        0.51836
   47176       0.355388         4.7579        7.50511
   46666       0.392543        4.74866        8.18058
   47271      0.0984293        4.74289        2.15788
   42471     -0.0052804        4.74588       0.627825
   47091     -0.0146068        4.74592        3.07539
   45356     0.00417983        4.74785       0.856575
   46386      0.0036688        4.75745        0.74112
   44296       0.361288        4.71381        50.5545
   45626       0.219305        4.71198        1309.08
   44646        0.21874         4.6748        4.73451
   45301       0.236448        4.69528        5.10535
   46091       0.241086        4.69485        5.20347
   44846       0.226587        4.71042        47.0046
   46096       0.250598        4.71859        5.39482
   42414       0.561605        4.73536        211.056
   43882       0.575011        4.74724       0.517439
   45297       -5.40028        4.69925       0.559006
   47974       -5.42362        4.75087        211.156
   47881       0.381636        4.71861        47.3446
   43221       0.100632         4.7225        21.1589
   42386       0.113307        4.71988        2.48214
   43186       0.108481        4.72276        2.23863
   43481       0.108262        4.72432        2.36251
   44484        6.07494        4.72206         211.01
   41817        6.04162        4.41291       0.305584
   45207        6.16645        4.41197       0.196921
   41972       0.478091        4.61576        0.50464
   44682       0.498081        4.69108       0.546269
   45046       0.506196         4.6727         9.3803
   47891       0.480915        4.70311        35.6248
   42681       0.481339        4.73427         9.8409
   48011       0.475122        4.71375        36.1765
   41611       0.470867        4.71168        970.846
   47186       0.468484        4.71104        9.61326
   43337        1.20081        4.82324         3.3951
   47587        1.21741        4.89821       0.276024
   41724       -4.33276        4.72803        211.026
   44852       -4.33578        4.60307       0.715984
   45817       -4.24907        4.47861       0.139656
   47064        5.59514        4.71338            211
   42317        5.80549        4.32127      0.0633088
   43112        5.66108        4.45926        2.31236
   41999       -5.59351        4.90875         327.29
   43212       -5.59643        4.96794       0.591103
   43646       0.733041        4.71204         2045.5
   45271       0.726755        4.74636        20.5939
   42666       0.654132         4.6087        10.2368
   41746       0.717847        4.63022        13.5396
   45346        0.73867        4.62905        13.8118
   46337       0.774912        4.56563       0.364655
   45809       -5.94194        4.95649        217.446
   45542       -5.80147        5.15162       0.133067
   47687       -5.73556        5.10271       0.300893
   45816      -0.131068        4.71059        27.4764
   41756      -0.149795        4.69442        31.3719
   43166      -0.162036         4.7088        33.8907
   46946      -0.187612        4.72446        39.1269
   47686      -0.183276        4.72195        38.2433
   45646      -0.192007        4.70653        40.0133
   43936      -0.201419         4.7154         63.791
   47541       -0.20831        4.71726        43.3283
   43217         -5.726        4.81221       0.929336
   44739       -5.70886         4.8052        211.912
   43167       -6.61624        4.85871       0.347167
   47334       -6.58163        4.75367         211.18
   44056      -0.134991        4.80829        26.6601
   47326      -0.080527        4.72985        16.9506
   47536     -0.0760877        4.72098        16.0228
   44501      -0.113116        4.76241        23.7184
   44796      -0.097333        4.74645        31.1389
   45806     -0.0938621        4.73272        19.7363
   47086     -0.0996363        4.72761        20.9431
   44291      0.0370399        4.76005       0.804429
   47331      0.0393663        4.78235       0.864922
   46606      0.0350282        4.77383       0.763127
   47201      0.0386077        4.77073       0.799192
   41981      0.0362341        4.79683        7.18754
   43201      0.0494321        4.78754        1.07413
   43691     -0.0188917         4.7973        3.87325
   42031    -0.00557487        4.79054         1.1497
   45651     -0.0153524         4.7926        3.23505
   42661     0.00705542         4.8374        1.27926
   46986     0.00872331        4.82069        1.83485
   42701      0.0174366        4.81747       0.280154
   48056      0.0185036        4.82131       0.326802
   42011     0.00526884        4.78855       0.413425
   44406     0.00800537        4.78384       0.170186
   43586       0.012504        4.78728       0.241698
   46076       0.009076        4.79064        1.61368
   43916      0.0170573        4.80021         3.5901
   45281      0.0164764        4.79367       0.345776
   47531      0.0135338        4.79615        1.65168
   42021      0.0101064        4.79981        2.12611
   47671      0.0115568        4.80055        2.24219
   43006     -0.0338568        4.82723        7.07772
   44471     -0.0276345        4.81641        8.81248
   45261      0.0468986        4.84481        1.01079
   42281      0.0489178        4.87066       0.954199
   42841      0.0385793        4.86549       0.571722
   44806    -0.00626146        4.89403         1.3132
   46306     0.00229024        4.89741       0.448046
   47571      0.0278089        4.86686       0.607959
   42616      0.0138661        4.85433       0.212081
   46961      0.0186325        4.86897        3.74883
   42971     -0.0263638         4.9094        5.39779
   42506    -0.00544473         4.8895        1.13896
   44416     -0.0161269        4.87809        2.83995
   44781    -0.00912704         4.8558        1.89584
   45741    -0.00314142        4.86501       0.647958
   45766    -0.00796454        4.86143        1.64652
   42466     -0.0224792        4.84671        4.69449
   44906     -0.0167664         4.8536        3.49391
   43714        1.07287        4.76472         321.44
   44197         1.1091        4.80937       0.069974
   42519        8.27093        4.71917        211.005
   44182         8.2356        4.64077      0.0751685
   41791       0.174339        4.70948        55.4002
   43161       0.135592        4.70185         28.429
   47906       0.149938        4.64917        3.27413
   47261       0.131273        4.66097        2.87068
   42846       0.129034        4.66359        2.13293
   43476       0.128726         4.6629        2.80516
   43206       0.156207        4.74036        32.6926
   43431       0.169229        4.76581        3.67037
   42111       0.122442        4.76615         2.6752
   47081      0.0962083        4.81344         1.9855
   44391        0.14276        4.72851        3.11762
   41606       0.140201        4.71999        29.3884
   48046       0.146639        4.71737        2.31812
   46406       0.130022        4.72133        27.2791
   47191       0.132102        4.73897        2.88737
   46656       0.207483        4.71043         95.413
   44831       0.208925        4.71364        455.533
   47886       0.212805        4.71272        44.2356
   44051       0.234152        4.76399         4.7838
   47181       0.230837        4.74782        4.99009
   43926       0.205745        4.73037        4.45291
   44426        0.21026        4.72692         4.5587
   46086       0.214488        4.72855        27.4469
   44261       0.206335        4.74736        4.47592
   45266       0.190642        4.74352         4.1434
   45276       0.194714         4.7308        4.22793
   43226       0.219959        4.82826        4.73868
   42101       0.278524        4.76228        5.97113
   42106       0.286775         4.7815        6.12811
   43682       0.337527        4.84344       0.431632
   46016      0.0309865        4.55573       0.480988
   45351      0.0341283        4.54966       0.749622
   48051      0.0331868        4.55156        0.46787
   44041     0.00657473        4.55012        1.64627
   45771    -0.00383636        4.54305       0.770997
   42336       0.022302        4.58154       0.374346
   44026      0.0245085        4.57416        3.73722
   45256      0.0258854        4.57095       0.561221
   41926      0.0100646        4.57383       0.726446
   42696     0.00517965        4.59078        0.10587
   44506     0.00873979        4.58576        2.76052
   46046      0.0105861        4.58531       0.231618
   42866      0.0159335        4.53636        0.34236
   41721      0.0189904        4.55196       0.377346
   47446      0.0114279        4.54646        2.11761
   46361    -0.00500517        4.51672        1.02549
   47776    -0.00246043        4.52942       0.468575
   47726      -0.016633        4.59909        2.90626
   43191     -0.0245976         4.5802         4.6445
   44046    -0.00955451        4.57543        1.88056
   48142       0.199493        4.46725        2.22328
   44866     0.00288865        4.46761       0.588437
   47756    -0.00123061        4.46788      0.0951041
   43456       0.105272        4.47548        2.23549
   43872      0.0895349        4.47101        9.13069
